cinema ID number,objectid,filename,title,alternatives names,venue type,opened,date,closed,county,city,street,location,proprietor,manager,projectionist,musical director,soloists,architect,seats,projector,description,references,notes,latitude,longitude,field1
1,Cinema1,,People's Popular Picture Palace at the Queen's Theatre,Queen's,Theatre,02-Mar-08,1908,09/01/1909,Dublin,Dublin,208-10 Gt Brunswick Street,"Dublin, County Dublin",Colonial Picture Combine/W. S. Pearce,Carl Fredericks,,"Initially Mervyn Browne, but by May 1908, first Peters then Reginald Morgan",,,,,"Proprieter: Colonial Picture Combine/W. S. PearceManager: Carl FredericksMusical Director: Initially Mervyn Browne, but by May 1908, first Peters then Reginald Morgan","DEM 29/02/1908 (preview, Brown, Huish); FJ 03/03/1908,  II 03/03/1908, ET 03/03/1908 (opening); FJ 05/05/1908",Catering at opening by W. H. Huish,53.3450197198604,-6.254832812411227,1
2,Cinema2,,Cinematograph Volta,Lyceum (1920),Cinema,20-Dec-09,1909,c. 27/10/1947,Dublin,Dublin,45 Mary Street,"Dublin, County Dublin",Consortium including James Joyce (Dec. 1909-Jun. 10); Provincial (1910-),"James Joyce, Maximillian (Lorenzo?) Novak (1909-10); W. H. Huish; R. G. Bell, assisted by Mr. Richardson (1914)",,Initially Reginald Morgan. Sundays in 1912: Jack Larchet's Irish String Orchestra (Bio 23/05/1912),,,,,"Proprieter: Consortium including James Joyce (Dec. 1909-Jun. 10); Provincial (1910-)Manager: James Joyce, Maximillian (Lorenzo?) Novak (1909-10); W. H. Huish; R. G. Bell, assisted by Mr. Richardson (1914)Musical Director: Initially Reginald Morgan. Sundays in 1912: Jack Larchet's Irish String Orchestra (Bio 23/05/1912)","Sinn Fein 19/03/1910, 02/04/1910 (Morgan); Bio 05/03/1914 (Bell); ET 26/02/1916: under new management and machinery)","Most famous early Irish cinema; written about most accurately by Kevin Rockett, Luke McKernan",53.348991290820685,-6.265883101896529,0
3,Cinema3,,Picture House Sackville/O'Connell Street,"Dublin Cinematograph Theatre; Picture House, Sackville Street",Cinema,08-Apr-10,1910,,Dublin,Dublin,51 Lr Sackville/O'Connell Street,"Dublin, County Dublin",Provincial Cinematograph Theatres/R. T. Jupp,William Huish; R. J. Bell (1912; assisted by Richardson 1913),,Jack Larchet (1913),,,,,Proprieter: Provincial Cinematograph Theatres/R. T. JuppManager: William Huish; R. J. Bell (1912; assisted by Richardson 1913)Musical Director: Jack Larchet (1913),"Bio 21/04/1910 (opening), Bio 23/06/1910 (name change to Sackville); DEM 13/10/1913 (Larchet)",,53.347823202281425,-6.259795024450974,0
4,Cinema4,,Rotunda Round Room,,Multipurpose venue,18-Dec-12,1912,,Dublin,Dublin,165 Parnell Street,"Dublin, County Dublin",Irish Animated Picture Company/James T. Jameson,Ernest Jameson; from June 1916 with William Kay,John Bennett,"May Murphy, leading the Irish Ladies' String Orchestra (1913-16); Grand Orchestra (1916-)",,,1400,,"Proprieter: Irish Animated Picture Company/James T. JamesonManager: Ernest Jameson; from June 1916 with William KayMusical Director: May Murphy, leading the Irish Ladies' String Orchestra (1913-16); Grand Orchestra (1916-)","KLW 29/08/1912 (Bennett, Murphy); Bio 30/01/1913 (permanent projection); Cinemas Yearbook 1915 (seats)",Date refers to beginning of permanent pictures; before this seasons of,53.352710890202154,-6.261890513129208,0
5,Cinema5,,Coliseum Picture House,,Cinema,01-Mar-10,1910,28/08/1910,Dublin,Dublin,15-16 Redmond's Hill,"Dublin, County Dublin",R .W. Graham,,,,,,,,Proprieter: R .W. GrahamManager: Musical Director: ,IT 11/11/1911; Thoms 1911 (15 and 16 The Coliseum theatre of living pictures 110l. & 60l); Bio 11/04/1912,,53.338108221261564,-6.2661833144220225,0
6,Cinema6,,People's Picture Palace,,Cinema,22-Mar-11,1911,,Dublin,Dublin,50 Thomas Street,"Dublin, County Dublin",,,,,,,,,Proprieter: Manager: Musical Director: ,,,53.342674291947674,-6.278695202535021,0
7,Cinema7,,Picture House Grafton Street,,Cinema,17-Apr-11,1911,,Dublin,Dublin,72 Grafton Street,"Dublin, County Dublin",Provincial Cinematograph Theatres/R. T. Jupp,"R. J. Bell, assisted by Mr. Richardson (1914); Charles Grattan (1917)",,"""Excellent orchestra"" at opening; Marks Rosenberg (1914-17 Holloway programmes); Albert Fitzgerald DEM 14/12/1918",,,620,,"Proprieter: Provincial Cinematograph Theatres/R. T. JuppManager: R. J. Bell, assisted by Mr. Richardson (1914); Charles Grattan (1917)Musical Director: ""Excellent orchestra"" at opening; Marks Rosenberg (1914-17 Holloway programmes); Albert Fitzgerald DEM 14/12/1918","Bio 28/05/1914, 15/11/1917 (slander case); EH 09/06/1914 (Rosenberg)",,53.34134291562035,-6.260561739508576,0
8,Cinema8,,Kingstown Picture House,,Cinema,17-Apr-11,1911,,Dublin,Kingstown,"9-10 Upper Georges Street, Kingstown","Kingstown, County Dublin",,"F. Nowne (1912-Oct. 1912), Mr Cropper (1913), George C. Crofton (1914)",David Marks (1912),"Mrs Nowne (1912), Miss Frazer (1913); Goulding (1919 e.g., DEM preview 24/05/1919)",,C. G. Dunlop,280,Edison,"Proprieter: Manager: F. Nowne (1912-Oct. 1912), Mr Cropper (1913), George C. Crofton (1914)Musical Director: Mrs Nowne (1912), Miss Frazer (1913); Goulding (1919 e.g., DEM preview 24/05/1919)","FJ 03/02/1911 (plans, seats); Irish Builder 29/04/1911 (opening, address); Bio 18/05/1911, 29/02/1912 (projector), 21/03/1912 (music), 08/08/1912 (education matinees), 30/01/1913 (Frazer); ET 25/07/1914 (Crofton, seats)",Seating  quoted in 1911; ET puts it at 350 in 1914,53.291990692128415,-6.135749279346565,0
9,Cinema9,,Dorset Picture Hall,,Cinema,13-May-11,1911,,Dublin,Dublin,Granby Row,"Dublin, County Dublin",William Shanley,Mr. Sullivan,,,Eva Hickie (pianist until April 1914),,900,,Proprieter: William ShanleyManager: Mr. SullivanMusical Director: ,"FJ 16/05/1911 (opening); ET 10/01/1916; ET 09/03/1916: “Cycles may be stored free of charge, but at owner’s sole risk.” Bio 07/05/1914 (seats)",By May 1914: luxurious red velvet seats in lower hall and red leather tip-up replacing wooden forms on balcony.,53.35423834027997,-6.266724385923871,0
10,Cinema10,,"Electric Theatre, Dublin",,Cinema,19-May-11,1911,,Dublin,Dublin,46 Talbot Street,"Dublin, County Dublin",,Fred Orr,,Katherine Murnaghan (1914),,,450,,Proprieter: Manager: Fred OrrMusical Director: Katherine Murnaghan (1914),"Bio 25/03/1911; IT 11/11/1911 (Corporation debate); ET 16/06/1914 (""Madam Murnaghan's fine string orchestra""); ET 30/12/1914 (music prosecution)",Orchestra in Dec. 1914  consisted of piano in afternoon and piano accompanied by violin and cello in evening,53.351484974476826,-6.25061503670706,0
